fraud_bool,income,name_email_similarity,prev_address_months_count,current_address_months_count,customer_age,days_since_request,intended_balcon_amount,payment_type,zip_count_4w,velocity_6h,velocity_24h,velocity_4w,bank_branch_count_8w,date_of_birth_distinct_emails_4w,employment_status,credit_risk_score,email_is_free,housing_status,phone_home_valid,phone_mobile_valid,bank_months_count,has_other_cards,proposed_credit_limit,foreign_request,source,session_length_in_minutes,device_os,keep_alive_session,device_distinct_emails_8w,device_fraud_count,month
0,0.1,0.7712478109638357,-1,192,20,0.0084489823617388,-1.0509510376512128,AB,2570,6079.874351169303,2927.210042681401,5339.732229162089,11,5,CA,214,0,BE,0,1,11,0,1500.0,0,INTERNET,37.83188883875239,windows,0,1,0,2
0,0.9,0.8686088853868399,-1,8,30,0.0035030600674728,-0.6833370921486966,AB,1081,1727.7337389063794,2697.749318255904,3582.755084014101,6,6,CA,152,1,BC,1,1,1,1,200.0,0,INTERNET,1.6102264573601608,linux,1,1,0,6
0,0.6000000000000001,0.4619740212237678,30,8,30,0.0063264307497764,-0.9168319460812268,AB,2162,1108.075600437522,4985.9972765102975,4936.787226837269,1329,15,CA,130,0,BC,1,0,1,0,500.0,0,INTERNET,5.502750166036583,linux,0,1,0,3
0,0.9,0.3881113907417329,31,2,50,0.0104801688448941,-0.8172177551819884,AB,2676,3849.725771774408,4259.347493956469,4872.355832815736,7,14,CB,187,1,BA,0,1,19,1,1500.0,0,INTERNET,3.2094876807383854,windows,1,1,0,4
0,0.9,0.5121890028823877,-1,249,50,0.0132387626002398,-0.2308894574796238,AB,621,3282.9216599576253,3156.647048023958,3150.353836113657,5,6,CA,125,0,BA,0,0,26,1,500.0,0,INTERNET,8.416212127740566,other,1,1,0,7
0,0.9,0.477625245838689,-1,87,20,0.0081992666478301,-0.8128984294652606,AA,1459,4875.982663914538,4354.09581446525,4308.944062184835,1829,10,CB,71,1,BC,0,1,6,0,200.0,0,INTERNET,4.39032589908436,other,1,1,0,3
0,0.4,0.6597909494949133,-1,364,50,0.0134227268785232,-1.0476086565165577,AB,1123,971.500039020534,4812.3837002698965,4849.289128510884,40,1,CA,108,1,BC,1,1,28,0,200.0,0,INTERNET,9.41221457258706,windows,1,1,0,4
0,0.1,0.9992414708859392,-1,112,20,0.0212394941200144,-0.7680715000603081,AB,1469,5627.833948448103,6244.508380908358,6711.400718595188,10,4,CA,158,1,BE,1,1,15,0,200.0,0,INTERNET,15.3121386921349,windows,1,2,0,6
0,0.9,0.9554599070386992,-1,189,60,0.0052675169399827,-1.0308725622785997,AB,769,7129.664750733494,4952.148625803631,4255.0153219489175,12,11,CA,180,1,BA,1,1,1,0,200.0,0,INTERNET,9.5620180352998,other,0,1,0,5
0,0.1,0.4342699021118238,-1,28,30,0.0286116913966007,-1.425156790063282,AC,3589,5301.372691502513,5229.641152235644,5215.869880260864,0,13,CA,129,0,BC,0,1,-1,0,200.0,0,INTERNET,2.7599849447554976,other,0,1,0,2
0,0.1,0.762154850705721,-1,48,40,0.0210923976650038,12.822157311432864,AA,3962,6000.350506681684,7548.7580001060915,5956.943650483066,1783,9,CA,150,1,BC,1,1,11,1,1500.0,0,INTERNET,7.287078839526948,other,1,1,0,5
0,0.3,0.123414744240654,9,56,40,0.0312423296477694,-1.6236141410513012,AB,688,7503.932075804851,5459.825770181943,4873.010750176411,12,10,CA,185,1,BC,0,0,20,0,500.0,0,INTERNET,0.7772116433384995,windows,1,1,0,3
0,0.2,0.0691678341689403,21,39,30,0.0008810345721787,11.075004660887526,AA,1096,4052.377029580781,3765.319532290755,4127.069561268457,22,18,CA,133,1,BE,0,1,5,0,200.0,0,INTERNET,17.58930384039644,windows,1,1,0,4
0,0.9,0.4473820985380349,-1,163,40,0.0274955535971286,-1.6581403727078592,AC,1232,3386.742911301179,3597.2431585370323,4194.803750247876,1,6,CD,108,0,BB,0,1,-1,0,200.0,0,INTERNET,5.677561310399934,other,1,1,0,5
0,0.1,0.645500360038269,-1,79,40,0.0212263287544736,-1.1866353428340688,AC,1219,3827.489379370757,2834.431431994696,3703.05703634364,0,10,CA,88,1,BB,1,1,-1,0,200.0,0,INTERNET,1.5822252324642654,linux,1,1,0,7
0,0.2,0.5598641761565162,-1,71,40,0.0172928948852091,-1.4199706542160424,AD,832,2689.6015003715024,2653.2875698057,3522.9794933926696,241,8,CA,128,1,BC,0,1,1,0,200.0,0,INTERNET,2.4493647865749693,other,1,1,0,6
0,0.4,0.0429756005508653,-1,27,40,0.004449069297707,-0.780798596043875,AB,509,2226.753021195889,3750.705306356756,3064.9931907048194,3,8,CA,105,0,BC,1,0,30,1,500.0,0,INTERNET,2.755851561285095,windows,1,1,0,7
0,0.8,0.3431264756458781,-1,219,50,0.032221572220535,-1.0692268065912651,AB,651,4161.8184215277215,3148.135838570124,3178.384518352739,0,1,CA,70,0,BB,1,1,2,0,200.0,0,INTERNET,24.89831092834527,macintosh,0,1,0,7
0,0.7000000000000001,0.0039732249862775,-1,87,30,0.0383139562775473,19.179177754044886,AA,1821,8313.50257766945,5156.184772615498,6640.846434620109,147,24,CF,50,1,BC,1,1,1,0,200.0,0,INTERNET,2.6622406652153656,linux,1,1,0,0
0,0.1,0.1177551961496738,-1,165,30,2.8655404598158274,28.86965701315627,AA,234,5321.884173454127,2642.850293412671,4875.580588231446,614,14,CA,182,1,BA,1,1,2,0,1500.0,0,INTERNET,13.758770740926051,other,1,1,0,3
0,0.1,0.0529017074901188,-1,160,50,0.011389616437982,34.56568064354775,AA,740,1545.7427277678655,1691.5541638757595,5856.670633892879,841,4,CA,186,0,BA,0,1,1,0,200.0,0,INTERNET,18.332488374504297,other,0,1,0,7
